Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2,Price_Clean,Lot_Size,Living_Space,Build_Year,Total_Rooms,Bedrooms,Number_of_Floors
Bovenweg 223,Sint Pancras,€ 525.000,251 m²,135 m²,1972,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,,"Achtertuin, voortuin en zijtuin",6.035,525000.0,251,135,1972.0,5.0,4.0,3.0
Julianastraat 19,Waddinxveen,€ 425.000,181 m²,109 m²,1935,Bestaande bouw,"Herenhuis, geschakelde 2-onder-1-kapwoning",Schilddak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.435,425000.0,181,109,1935.0,4.0,3.0,3.0
Kuipersgilde 3,Houten,€ 575.000,198 m²,138 m²,1986,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,1.855,575000.0,198,138,1986.0,5.0,4.0,3.0
De Kamp 1 A,Pannerden,€ 259.500,231 m²,92 m²,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.190,259500.0,231,92,1989.0,5.0,3.0,3.0
Wildrijklaan 8,Sassenheim,€ 1.050.000,423 m²,210 m²,2000,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,4 woonlagen en een kelder,A,"Aan rustige weg, aan water, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",1.340,1050000.0,423,210,2000.0,6.0,5.0,4.0
Tol 4,Oudewater,€ 445.000,127 m²,126 m²,2016,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,1.745,445000.0,127,126,2016.0,5.0,4.0,3.0
Furkabaan 698,Utrecht,€ 425.000,170 m²,87 m²,1984,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,C,In woonwijk,Achtertuin en voortuin,7.080,425000.0,170,87,1984.0,5.0,3.0,2.0
Abeelstraat 71,Dordrecht,€ 825.000,413 m²,232 m²,1974,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (6 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk,Achtertuin en voortuin,5.090,825000.0,413,232,1974.0,7.0,6.0,3.0
Overegge 8,Zuidveen,€ 249.500,235 m²,124 m²,1920,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,G,"Aan rustige weg, beschutte ligging en in centrum",Voortuin en zijtuin,580,249500.0,235,124,1920.0,5.0,4.0,2.0
Gaasterland 59,Amstelveen,€ 550.000,137 m²,111 m²,1992,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.040,550000.0,137,111,1992.0,4.0,3.0,3.0
Oostopgaande 53,Nieuwlande,€ 859.000,5.440 m²,300 m²,2017,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (7 slaapkamers),3 badkamers en 2 aparte toiletten,3 woonlagen,A,"Aan rustige weg, aan water, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Tuin rondom,60,859000.0,5440,300,2017.0,9.0,7.0,3.0
Ghijseland 198,Rhoon,€ 389.000,290 m²,108 m²,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.310,389000.0,290,108,1973.0,5.0,4.0,3.0
Diedenweg 10 A,Ede,€ 349.000,281 m²,80 m²,,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,F,In woonwijk,"Achtertuin, voortuin en zijtuin",,349000.0,281,80,,3.0,2.0,2.0
